LABEL analytical,relative period,absolute period,cultural attribution,Site,Sample label,Geo Latitude,Geo Longitude,Type of site/context,Region,Artefact type,Axe type,Category,Base,As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),Chemical cluster,
MA-103720,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 186,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper metal droplet,unk,production,copper,8,3.8,186,120,7.6,0.169,3.5,-1.7059016,0.7684348,1.3166658,-0.081459,0.5977767,-0.3247532,0.2057751,2,1
MA-103724,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 196,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper wire,unk,metal implement,copper,4.1,1,13.8,150,8.1,0.37,6.4,-1.682826,-0.0273771,0.6217776,-0.0230669,0.0787648,0.1388406,-0.3297178,2,1
HDM 1308,MC,4600-4450 BC,KSBh / Vinca?,Sumrakovac,HDM 1308,"43Â°56'24.00""N","22Â° 2'11.00""E",stray,SRB,hammer axe,Plocnik,metal implement,copper,4790,100,3.7,78,71,4.2,44,1.7818868,1.9138204,-0.0280476,0.0570822,-0.3469775,0.379822,-0.0472163,9,2
HDM 1496,MC,4600-4450 BC,Vinca culture,Gomolava,HDM 1496,"44Â°53'21.99""N","19Â°45'56.50""E",cemetery,SRB,bracelet,unk,metal ornament,copper,1,0.1,3.2,33,13.8,0.07,6,-2.5695007,-0.8551997,0.0360525,0.7375315,-0.3900446,0.24239,0.0757817,2,0
HDM 1555,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1555,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,5.9,2.6,2.7,31,12.9,0.1,6.7,-1.5219424,0.1037744,-0.3148491,0.5778333,0.2885423,0.2026895,0.120409,2,2
HDM 1556,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1556,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,flat axe,unk,metal implement,copper,770,540,0.8,10,650,14,250,2.9097238,0.6340888,-0.6256059,0.3627445,0.316149,0.5074181,0.5494227,9,2
HDM 1557,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1557,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,flat axe,unk,metal implement,copper,1120,730,0.9,11,610,10.6,175,2.8915415,0.8950986,-0.6751909,0.3440886,0.350234,0.3872503,0.5704106,9,2
HDM 1558,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1558,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,hammer axe,Plocnik,metal implement,copper,0.5,0.06,13.4,42,4.9,0.058,4,-3.1761012,-0.7842293,0.5978116,0.5092355,-0.2041609,0.2847489,0.0978228,2,2
HDM 1559,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1559,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,hammer axe,Plocnik,metal implement,copper,0.4,0.05,42,30,5.5,0.017,3,-3.5871873,-0.6236073,0.8978394,0.8020935,-0.0673967,-0.0049251,0.4327524,2,2
HDM 1560,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1560,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,0.4,0.23,3,31,5.8,0.21,5.1,-2.5241399,-1.0406749,-0.0053813,0.1922591,0.1010802,0.5272371,-0.0092425,2,2
HDM 1561,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1561,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,0.4,0.18,42,32,5.4,0.019,2,-3.3809948,-0.418108,0.7301946,0.5998736,0.336593,-0.167116,0.4529124,2,2
HDM 1562,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1562,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,0.7,51,3.1,41,235,4.6,76,0.5526683,-1.3800714,0.0774186,0.0292946,1.2796417,-0.0461663,0.0342171,4,2
HDM 1563,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1563,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,2,52,4.2,26,800,15.9,64,1.1878641,-1.3632402,0.1684966,-0.2513851,0.8462988,-0.2045139,0.4077477,4,2
HDM 1564,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1564,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,2,63,0.8,5,660,11.3,106,1.2869099,-1.528271,-0.570444,0.1176188,0.9058305,0.322305,0.7467247,4,2
HDM 1565,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1565,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,3,400,0.3,16,700,10.8,128,1.8138112,-1.207555,-0.9849895,0.113991,1.3502155,0.1224686,0.1722834,4,2
HDM 1566,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1566,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,0.6,15.4,1.7,10,450,7.1,44,0.4298537,-1.8078163,-0.2353423,-0.0486967,0.7697732,0.0657298,0.5959583,4,2
HDM 1567,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1567,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,81,310,0.9,12,680,14.8,98,2.2663819,-0.0820683,-0.6292546,0.0334381,0.5796955,0.2160683,0.5322938,9,2
HDM 1568,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1568,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,0.6,0.1,16.3,20,2.9,0.02,1.7,-3.5347665,-0.3586001,0.3652673,0.5879969,0.0526729,0.2124318,0.4570929,2,2
HDM 1569,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1569,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,0.8,32,0.7,34,240,6.4,67,0.5973971,-1.572488,-0.4619251,-0.0028092,0.9625487,0.1655297,-0.0920517,4,2
HDM 1570,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1570,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,chisel,unk,metal implement,copper,17.3,12.7,1.2,44,155,11.9,33,0.8021623,-0.567543,-0.2467868,-0.3133293,-0.0323297,0.3268304,-0.0339567,4,2
HDM 1571,MC,4600-4450 BC,Vinca culture,Plocnik,HDM 1571,"43Â°12'35.72""N","21Â°21'50.42""E",settlement/hoard?,SRB,hammer axe,Plocnik,metal implement,copper,840,160,2.8,36,240,5.9,35,1.8758078,1.1338306,-0.2617618,-0.0288867,0.0237203,0.0605309,0.318252,9,2
HDM 1903,MC,4600-4450 BC,KSBh I,Radlovci,HDM 1903,"42Â°18'46.69""N","22Â°38'11.82""E",stray,W,hammer axe,Plocnik,metal implement,copper,0.9,4.9,1,85,12,0.212,0.5,-1.9953858,-0.2972712,-0.9882145,-0.4417273,0.6561896,-0.4081537,-0.2145677,2,0
HDM 1910,MC,4600-4450 BC,KSBh I,Dragoman,HDM 1910,"42Â°55'18.03""N","22Â°55'47.44""E",hoard,W,hammer axe,Plocnik,metal implement,copper,0.8,7.6,1.5,72,39,0.79,3.1,-1.0974599,-0.7927725,-0.5451336,-0.3120258,0.7216779,-0.2700721,-0.1584604,2,0
HDM 1911,MC,4600-4450 BC,KSBh I,Dragoman,HDM 1911,"42Â°55'18.03""N","22Â°55'47.44""E",hoard,W,hammer axe,Plocnik,metal implement,copper,0.8,2.68,1,84,12,0.35,0.8,-1.9473745,-0.5312902,-0.8291223,-0.4585047,0.4658361,-0.2112825,-0.266883,2,0
HDM 1940,MC,4600-4450 BC,Karanovo VI?,Ai Bunar,HDM 1940,"42Â°28'33.09""N","25Â°26'2.36""E",mine,THR,hammer axe,Plocnik,metal implement,copper,1.3,1.55,1.5,41,850,12,320,0.6972642,-2.1894843,0.3787888,0.4300478,-0.229247,0.3120734,-0.0925934,4,2
HDM 1976,MC,4600-4450 BC,Hamangia IV,Durankulak,HDM 1976,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,1,29,5.6,150,150,29.2,38,0.6343669,-1.3322335,0.4831222,-0.8403321,0.9032191,-0.03731,-0.37644,4,2
HDM 1977,MC,4600-4450 BC,Hamangia IV,Durankulak,HDM 1977,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,2490,590,1,15,620,20.8,177,3.1204833,1.0593671,-0.5529015,0.1507777,0.0503641,0.4549112,0.4769054,9,2
HDM 2011,MC,4600-4450 BC,Varna I,Durankulak,HDM 2011,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,3400,38,5,73,244,0.248,56,1.2193617,1.8419983,0.0177965,1.1708081,-0.4952837,-0.2564378,0.1374912,9,2
HDM 2025,MC,4600-4450 BC,Hamangia IV,Durankulak,HDM 2025,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,340,15.2,30,284,450,0.61,100,0.9858357,0.9020428,1.0679502,0.8985483,-0.3056225,-0.6262989,-0.1957644,1,2
HDM 2026,MC,4600-4450 BC,Hamangia IV,Durankulak,HDM 2026,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,360,15.2,32,310,470,0.65,102,1.0178841,0.9129174,1.1061605,0.8824543,-0.3244868,-0.6453744,-0.2171292,1,2
HDM 2041,MC,4600-4450 BC,Boian-Spantov,Tell Ruse,HDM 2041,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,127,16.7,2,153,3400,53,204,2.4305942,-0.6513837,0.3400434,-0.0406355,-0.7459481,-0.2315474,-0.2633786,9,2
HDM 2049,MC,4600-4450 BC,Boian-Spantov,Tell Ruse,HDM 2049,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,15.3,6,5.5,23,147,14.8,135,0.8533222,-0.7642565,0.5722773,-0.0371998,-0.0795696,0.6736192,0.2796178,4,2
HDM 2064,MC,4600-4450 BC,Boian-Spantov,Tell Ruse,HDM 2064,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,2,1.8,3.5,125,54,0.83,42,-0.7224639,-0.9125867,0.3490547,0.4120961,0.1652108,0.1382667,-0.4563979,2,2
HDM 2080,MC,4600-4450 BC,Boian-Spantov,Tell Ruse,HDM 2080,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,10.9,3.1,39,890,11,0.46,1,-1.5737942,0.7241666,0.7876473,-0.6909342,0.1318809,-0.7302371,-0.6321509,2,2
HDM 2124,MC,4600-4450 BC,Sava IV (Hamangia IV),Goljamo Delcevo,HDM 2124,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,BSC,borer,unk,metal implement,copper,92,2.75,11.2,67,360,2.94,274,0.9332078,-0.1773931,0.9887574,0.7722027,-0.6655995,0.2339895,0.0446423,8,0
HDM 2702,MC,4600-4450 BC,KSBh I,Darzhanitsa,HDM 2702,"43Â°48'29.72""N","22Â°50'40.70""E",hoard,W,heavy axe,Gumelnica,metal implement,copper,0.8,0.11,12.6,34,9.3,0.083,2.5,-2.8554469,-0.6627619,0.4338534,0.3374488,-0.2256174,0.0594851,0.2934307,2,0
HDM 2703,MC,4600-4450 BC,KSBh I,Darzhanitsa,HDM 2703,"43Â°48'29.72""N","22Â°50'40.70""E",hoard,W,Heavy axe,Salcuta,metal implement,copper,10.9,2.15,0.1,52,11.9,0.275,1,-1.4652574,0.0833723,-1.7354076,-0.0858476,-0.30739,0.2147352,-0.3658135,2,0
MA-140926,MC,4600-4450 BC,KSBh I?,Kmpije Bor,Kmpije 2,"44Â° 5'23.94""N","22Â° 6'12.92""E",settlement,SRB,Slagged sherd,unk,production,copper,53.8,2.36,30.1,123,2,0.033,3,-2.0398409,1.6110151,0.5471978,0.4515833,0.1501854,0.1107753,-0.1254759,2,0
MA-140927,MC,4600-4450 BC,KSBh I?,Kmpije Bor,Kmpije 3,"44Â° 5'23.94""N","22Â° 6'12.92""E",settlement,SRB,metal,unk,metal implement,copper,2.9,1.13,1.34,66,7.6,0.215,2,-1.9480194,-0.165755,-0.5569881,-0.0254982,0.0457641,0.1769011,-0.2386719,2,0
MA-140929,MC,4600-4450 BC,Foeni Petresti (~ Late Vinca) ,Foeni Cimitir Foeni,Foeni Petresti 6,"45Â°29'22.92""N","20Â°51'38.61""E",settlement,ROM,Metal droplet?,unk,production,copper,964,42.7,5.2,105,666,3.87,42.3,1.7528288,0.9724005,0.1800065,0.2401355,-0.5086871,-0.3953916,0.0777346,9,2
HDM 1422,MC,4600-4450 BC,KSBh I,Bubanj,HDM 1422,"43Â°18'19.06""N","21Â°52'21.36""E",settlement,SRB,Chisel,unk,metal implement,copper,3,8.9,1.9,90,129,0.69,45,-0.1515394,-0.7527036,-0.0788452,0.5635434,0.4971777,-0.1158529,-0.3094665,4,2
HDM 1431,MC,4600-4450 BC,KSBh I?,Stari Kostolac,HDM 1431,"44Â°44'0.72""N","21Â°11'30.17""E",stray,SRB,chisel,unk,metal implement,copper,3.5,4.5,0.7,94,12.8,0.26,1.6,-1.5018708,-0.045482,-0.930826,-0.1329126,0.3330279,-0.0886735,-0.378488,2,0
HDM 1905,MC,4600-4450 BC,KSBh I,Djakovo,HDM 1905,"42Â°19'46.96""N","22Â°43'9.39""E",settlement,W,flat axe,unk,metal implement,copper,2,4.9,1.5,104,1350,7.8,110,0.8100759,-1.762934,0.1557547,0.2590739,-0.0315787,-0.3134353,-0.2789816,4,2
HDM 1942,MC,4600-4450 BC,Varna II,Durankulak,HDM 1942,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,2.3,6.3,1.5,22,1210,2.26,750,0.9598723,-1.7634754,0.2086586,1.2120175,0.2536295,0.2015089,0.1423717,4,2
HDM 1943,MC,4600-4450 BC,Varna I,Durankulak,HDM 1943,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,39,5.8,9.9,77,19,44,32,0.5233808,-0.0289742,0.7755596,-1.0098241,-0.2051955,0.9164921,-0.1660434,4,2
HDM 1944,MC,4600-4450 BC,Varna II,Durankulak,HDM 1944,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,0.7,0.97,9.7,82,104,19.4,21.3,-0.409111,-1.7137534,0.844852,-0.7569948,-0.0671405,0.1737219,-0.0782989,3,2
HDM 1945,MC,4600-4450 BC,Varna II,Durankulak,HDM 1945,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,0.6,1.1,8.6,71,111,20,26.4,-0.3443524,-1.8002483,0.8099489,-0.7035063,0.0054337,0.2214588,-0.0564595,3,2
HDM 1947,MC,4600-4450 BC,Varna II,Durankulak,HDM 1947,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,188,9.2,98,152,233,4.78,102,1.0293693,0.5535311,1.6516345,0.1483441,-0.3225496,-0.1615526,0.1039678,9,2
HDM 1948,MC,4600-4450 BC,Varna II,Durankulak,HDM 1948,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,5.9,5.7,15.3,162,191,10.3,27.6,0.3227053,-0.7462732,0.8850022,-0.4787209,0.0606746,-0.2235625,-0.1695279,4,2
HDM 1949,MC,4600-4450 BC,Varna II,Durankulak,HDM 1949,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,132,3.4,21,68,142,19.5,12.6,0.6445322,0.2421226,0.861331,-0.7552706,-0.8152675,0.0619565,0.316472,6,2
HDM 1967,MC,4600-4450 BC,Varna I,Durankulak,HDM 1967,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,173,320,5.6,75,520,13.1,60,2.1445575,0.5175638,0.1425705,-0.2259572,0.5205546,-0.2579123,0.121438,9,2
HDM 1968,MC,4600-4450 BC,Varna I,Durankulak,HDM 1968,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,5,1.96,90,2400,180,27.2,43,0.2672012,-0.8397487,2.0346573,-0.8501605,-0.2440125,-0.5334149,-1.0286629,4,2
HDM 1972,MC,4600-4450 BC,Varna I,Durankulak,HDM 1972,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,2240,72,1,18,171,0.075,17.8,0.8238497,1.9204665,-1.0204733,1.3216719,-0.1943305,-0.2165574,0.5299512,9,2
HDM 1974,MC,4600-4450 BC,Varna II,Durankulak,HDM 1974,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,820,7.5,660,250,230,12.9,22.5,1.067836,1.2266366,2.2518788,-0.6164382,-0.7445827,-0.5221702,0.34638,9,2
HDM 1979,MC,4600-4450 BC,Varna II,Durankulak,HDM 1979,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,4,0.16,7.9,26,4,0.078,0.7,-2.9087029,0.1368045,-0.0073553,0.0217909,-0.4460461,0.1712775,0.40662,2,2
HDM 1980,MC,4600-4450 BC,Varna II,Durankulak,HDM 1980,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,5.4,4.8,12.5,82,330,6.8,68,0.4723968,-0.9693413,0.8674392,-0.0119751,0.0366854,-0.1163166,0.0355466,4,2
HDM 1981,MC,4600-4450 BC,Varna I,Durankulak,HDM 1981,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,5,8,1,107,910,36,16,0.9624933,-1.3701843,-0.2475153,-0.743078,-0.2602489,-0.3623099,-0.1936452,4,2
HDM 1982,MC,4600-4450 BC,Varna II,Durankulak,HDM 1982,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,4.4,7.1,1,26,640,9.5,40,0.7390577,-1.3499339,-0.3011048,-0.0442847,-0.0581863,0.0010553,0.2368942,4,2
HDM 1984,MC,4600-4450 BC,Varna II,Durankulak,HDM 1984,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,234,1550,3,47,880,20,310,3.0419903,0.4489937,-0.0154691,0.1087847,0.9421947,0.0086837,0.1259202,9,2
HDM 1985,MC,4600-4450 BC,Varna II,Durankulak,HDM 1985,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,6,7.4,2.5,56,590,11.6,62,0.8626511,-1.1874583,0.1907401,-0.072189,-0.0518489,-0.0602015,0.0254804,4,2
HDM 1986,MC,4600-4450 BC,Varna I,Durankulak,HDM 1986,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,66,120,7.5,57,330,100,50,2.0680648,-0.0908458,0.433061,-0.9665759,0.3250672,0.1416737,0.1891067,9,2
HDM 1987,MC,4600-4450 BC,Varna I,Durankulak,HDM 1987,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,2.6,7.6,6.1,61,460,35,181,1.0656554,-1.5896084,0.7801497,-0.2525529,0.2022735,0.2396785,-0.0401575,4,2
HDM 1989,MC,4600-4450 BC,Varna I,Durankulak,HDM 1989,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,3.9,122,0.5,41,440,3.4,235,1.3702997,-1.0353438,-0.5683448,0.5932166,1.0722128,0.1322615,-0.2155216,5,2
HDM 1991,MC,4600-4450 BC,Varna II,Durankulak,HDM 1991,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,56,370,0.5,63,720,16.9,81,2.2723621,-0.1708804,-0.7335194,-0.1228405,0.6181767,-0.0719326,-0.1737749,9,2
HDM 1992,MC,4600-4450 BC,Varna II,Durankulak,HDM 1992,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,5100,830,0.5,61,580,14.5,256,3.3204698,1.3569038,-0.6902666,0.3363836,-0.0216946,0.3411028,-0.1802134,9,2
HDM 1993,MC,4600-4450 BC,Varna II,Durankulak,HDM 1993,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,12.8,3.4,35,350,144,56,11.8,0.4448137,-0.5455457,1.2865065,-1.2966166,-0.3796803,-0.2361989,-0.300311,4,2
HDM 1994,MC,4600-4450 BC,Varna II,Durankulak,HDM 1994,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,3,0.6,4,156,580,34,33,0.3165142,-1.7442169,0.6724766,-0.5690744,-0.8418017,-0.1165584,-0.2899075,4,2
HDM 1995,MC,4600-4450 BC,Varna II,Durankulak,HDM 1995,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,53,7.8,107,64,180,3,96,0.6226235,0.1955093,1.6004178,0.2538445,-0.010456,-0.0594187,0.402404,9,2
HDM 1996,MC,4600-4450 BC,Varna I,Durankulak,HDM 1996,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,240,1500,2,105,650,7.9,78,2.5499099,0.7598139,-0.3572232,0.0048723,0.9142074,-0.3903517,-0.1309915,9,2
HDM 1998,MC,4600-4450 BC,Varna I,Durankulak,HDM 1998,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,3.6,112,0.5,34,420,3,221,1.2929534,-1.05087,-0.5932622,0.6224899,1.0768676,0.1517282,-0.1436119,5,2
HDM 2000,MC,4600-4450 BC,Varna I,Durankulak,HDM 2000,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,162,2.2,7.2,60,99,25,20.1,0.7039438,0.1278647,0.5744078,-0.6657002,-1.0326053,0.4515187,0.1317495,6,2
HDM 2001,MC,4600-4450 BC,Varna II,Durankulak,HDM 2001,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,620,136,24.7,53,350,11.6,9.9,1.6752835,1.2018419,0.459378,-0.6638666,0.0234841,-0.4868214,0.619574,9,2
HDM 2002,MC,4600-4450 BC,Varna I,Durankulak,HDM 2002,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,640,12.4,78,98,500,13.2,66,1.5870928,0.7487273,1.4674228,-0.1546332,-0.6821402,-0.2301792,0.3822361,9,2
HDM 2003,MC,4600-4450 BC,Varna I,Durankulak,HDM 2003,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,3.7,0.24,3,15,164,22.6,29,-0.1850733,-1.6527324,0.4038268,-0.4248089,-0.9976053,0.6697665,0.4561796,4,2
HDM 2006,MC,4600-4450 BC,Varna I,Durankulak,HDM 2006,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,spiral ring,unk,metal ornament,copper,9,23.4,0.5,48,1640,12.9,33,1.3498176,-1.1601923,-0.6504629,-0.1222374,-0.015306,-0.3740738,0.0411655,4,2
HDM 2009,MC,4600-4450 BC,Varna II,Durankulak,HDM 2009,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,spiral ring,unk,metal ornament,copper,1.3,2.91,1.5,96,240,33,47,0.4276833,-1.8043434,0.1850997,-0.5846203,-0.0611595,0.2420062,-0.3731962,4,2
HDM 2012,MC,4600-4450 BC,Varna I,Durankulak,HDM 2012,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,2.5,0.33,1.5,5,21,0.218,1.7,-2.0521226,-0.6233647,-0.6762083,0.1889234,-0.3932249,0.3365522,0.8790144,2,2
HDM 2013,MC,4600-4450 BC,Varna I,Durankulak,HDM 2013,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,finger ring,unk,metal ornament,copper,1,0.21,1.5,27,720,2.63,400,-0.061418,-2.3613643,0.4713476,1.0584861,-0.6939309,0.4145499,0.0240511,4,2
HDM 2014,MC,4600-4450 BC,Varna I,Durankulak,HDM 2014,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,266,3.4,36,74,167,17.4,27.8,0.8906039,0.4320433,1.1780498,-0.5009603,-0.9075751,0.126279,0.3184393,6,2
HDM 2015,MC,4600-4450 BC,Varna I,Durankulak,HDM 2015,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,13.5,11,2,27,600,7.7,53,0.9773741,-0.8502453,-0.0563167,0.0774337,-0.0773264,-0.0017505,0.3177865,4,2
HDM 2016,MC,4600-4450 BC,Varna II,Durankulak,HDM 2016,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,0.9,1.01,2,12,390,9.8,55,0.0122156,-2.0627371,0.1465417,0.0098561,-0.2272921,0.353575,0.4989999,4,2
HDM 2017,MC,4600-4450 BC,Varna II,Durankulak,HDM 2017,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,0.9,0.44,2.5,33,181,11.4,31,-0.396425,-1.9528038,0.3337924,-0.2834671,-0.4670283,0.3554039,0.1085619,4,2
HDM 2018,MC,4600-4450 BC,Varna I,Durankulak,HDM 2018,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,20.3,16.6,26.2,93,390,18.8,61,1.1352,-0.4436323,1.0736283,-0.3986074,0.1091054,-0.181134,0.1487801,4,2
HDM 2019,MC,4600-4450 BC,Varna II,Durankulak,HDM 2019,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,1.1,2.73,1.5,152,350,27.1,37,0.3778052,-1.8591142,0.1806191,-0.5709519,-0.0957593,-0.0226802,-0.4909774,4,2
HDM 2023,MC,4600-4450 BC,Varna II,Durankulak,HDM 2023,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,3,2.45,6.4,118,280,40,52,0.5536391,-1.4753864,0.7859212,-0.6457608,-0.2369912,0.1213474,-0.226104,4,2
HDM 2024,MC,4600-4450 BC,Varna II,Durankulak,HDM 2024,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,2,2.31,3.5,100,276,37,55,0.4936152,-1.6702407,0.555804,-0.5833635,-0.1941091,0.1967156,-0.263144,4,2
