LABEL analytical,relative period,absolute period,cultural attribution,Site,Sample label,Geo Latitude,Geo Longitude,Type of site/context,Region,Artefact type,Axe type,Category,Base,As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),Chemical cluster,
MA-071499,EC,5000-4600 BC,Vinca culture,Belovode,Belovode M22,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,copper slag,unk,production,copper,1.6,0.2,5.4,22,6,0.0001,1.3,-4.1826946,0.5653323,-0.4976671,2.3511259,0.2815798,-0.6435602,0.4455076,2,1
MA-114275,EC,5000-4600 BC,Vinca culture,Plocnik,Plocnik 145,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,copper chisel,unk,metal implement,copper,2,0.19,10.4,27,5.3,0.067,2.6,-2.7336416,-0.200734,0.2805249,0.3912709,-0.1724797,0.2642755,0.3211064,2,1
MA-103710,EC,5000-4600 BC,Vinca culture,Gomolava,Gomolava 213,"44Â°53'21.99""N","19Â°45'56.50""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,45.7,0.64,18.9,120,1,0.05,3,-2.3650351,1.394974,0.5267862,0.3246732,-0.2363015,0.4994579,-0.2702444,2,0
L  355,EC,5000-4600 BC,Vinca culture,Plocnik,Plocnik 217,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,copper ingot,unk,metal implement,copper,1,5.0,2.0,43.3,0.0001,30.4,0.0001,-4.8966349,1.9,-1.6,-5.4,1.2,2.0,-0.3,2,1
MA-110617,EC,5000-4600 BC,Vinca culture,Belovode,Belovode 131,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,copper slag,unk,production,copper,5.4,0.91,450,130,2.3,0.016,2.4,-2.9021367,1.0639445,1.610456,0.4662065,0.5514748,-0.3471752,0.2151633,2,1
MA-140908,EC,5000-4600 BC,Vinca culture,Belovode,B108/13,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Copper mineral,unk,copper mineral,copper,46.6,8.66,65,340,3.1,0.071,2,-1.6613014,1.7210701,0.7924716,-0.0038942,0.5244426,-0.3407566,-0.3265446,2,1
MA-140916,EC,5000-4600 BC,Vinca culture,Belovode,Bf43/13,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Metal?,unk,production,copper,50.8,0.86,1.94,20,36.2,0.085,26.8,-0.947356,0.3300968,-0.2144936,1.2548279,-0.6129649,0.421667,0.2610401,2,1
MA-140919,EC,5000-4600 BC,Vinca culture,Plocnik,P13/13,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,metal wire?,unk,metal implement,copper,38,7.3,64,1600,30,0.7,53,-0.193716,0.6987383,1.5582075,0.2608668,0.2128236,-0.3199225,-1.0322039,2,1
MA-140920,EC,5000-4600 BC,Vinca culture,Plocnik,P14/13,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,malachite,unk,copper mineral,copper,3360,172,48.7,303,21.3,0.02,20.1,0.2200238,3.1234542,0.5970399,1.2373054,0.5487637,-0.5929636,-0.2095037,9,1
L  354,EC,5000-4600 BC,Vinca culture,Plocnik,Plocnik 216,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,copper chisel,unk,metal implement,copper,1,1,7.4,29.1,0.0001,0.1,0.0001,-6.417388,2.4518573,-1.3,-3.6,1.2,1.4,0.1,2,1
MA-103708,EC,5000-4600 BC,Vinca culture,Plocnik,Plocnik 207,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,45.6,6.6,13.9,120,2,0.02,2,-2.0003146,1.7326199,0.0656246,0.4944301,0.4976392,-0.0380247,-0.1773499,2,1
MA-103709,EC,5000-4600 BC,Vinca culture,Plocnik,Plocnik 43,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,1.65,0.17,151,110,1,0.03,6.4,-3.2465414,0.2944313,1.5512217,0.5270267,0.2754923,0.3738031,-0.0995098,2,1
MA-114274,EC,5000-4600 BC,Vinca culture,Plocnik,Plocnik 143,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,copper chisel,unk,metal implement,copper,3,0.68,8,83,7.9,0.3,6.3,-1.8396189,-0.2218398,0.3846306,0.0967112,0.0118363,0.2779395,-0.187487,2,1
MA-110622,EC,5000-4600 BC,Vinca culture,Vinca,Vinca 79,"44Â°49'57.91""N","20Â°33'0.76""E",settlement,SRB,copper slag,unk,production,copper,12.2,2.74,62,51,3.9,0.037,2.5,-2.1636429,1.0689832,0.7116306,0.3773633,0.5075962,-0.1022138,0.3666929,2,1
MA-110627,EC,5000-4600 BC,Vinca culture,Vinca,Vinca 87,"44Â°49'57.91""N","20Â°33'0.76""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,2.7,4.2,13.6,130,6,0.014,3,-2.3374081,0.5739263,0.1617715,0.7351749,0.893242,-0.4239431,-0.2026846,2,1
