,Annam/Jiaozhi (Hanoi),Anning,Ava (Xilicheng),Bago (Michenguo?),Bakahe (Liruncheng?) ROUGH,Bonan (Bonanzhen),Chengdu,Chengguanzhen (Huiwu),Dali/Yeyu,Dayinkong (Chiang Mai/Lanna),Dazhai (Tongdengchuan?),Deqen,Doushazhen (Shimen),Fengyicheng (Xishuanbanna/Sipsongpanna),Hengshanzhai,Huanzhou (Vinh),Jiangcheng (Hepuchuan?) ROUGH,Jinpingzhen (Yinshengcheng?),Kamarupa,Krung Thep (Bangkok),Kunlunguo/Pegu (Mawlamyine),Kunming/Yizhou,Lao Cai (Guyongbu),Leshan,Lhasa,Lijiang,Lincang (Songjianchuan?),Luodianguo,Luzhenla (Vientiane),Mangshi (Zhugeliangcheng?),Moguang (Jinhaosheng?),Muong Lay (Jianglangchuan?) ROUGH,Nanchangguan/Fengu (Mengzi),Nongdong,Prome,Puer (Jinning),Putao (Dadan?),Qinglongchang (Butuo?),Qiongdu,Qujing (Weixan),Sinanjiangxiang (Kaiyuancheng?),Tagaung,Temadao,Tengcheng (Tengyue/Dianyue),Tonghai,Wendianshan (Weiyuancheng?),Xinjiangcun (Michen?),Yandaozhen (Yandao),Yibin (Bodao),Yongchang (Baoshan),Yunnanyi,Yuxi (Mangnaidao?),Zhaotong (Zhuti),Zhongdian,Zhutangxiang (Qiongechuan?) ROUGH,Ziqi
Kamarupa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krung Thep (Bangkok),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kunlunguo/Pegu (Mawlamyine),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kunming/Yizhou,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
Lao Cai (Guyongbu),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leshan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lhasa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lijiang,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincang (Songjianchuan?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Luodianguo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
